#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
184.88,50,86.483392
185.13,50,86.503201
186.23,50,86.523201
186.28,50,86.542194
183.88,50,86.562247
186.28,50,86.580669
184.88,50,86.59967
186.18,50,86.618778
186.23,50,86.638957
183.83,50,86.657957
186.28,50,86.67715
184.83,50,86.69648
183.53,50,86.716667
183.68,50,86.735667
186.28,50,86.754998
183.73,50,86.775006
183.83,50,87.516925
186.28,50,87.536926
185.08,50,87.556926
183.75,50,87.576925
186.28,50,87.596926
185.13,50,87.616967
182.63,50,87.635971
184.98,50,87.65684
186.28,50,87.676858
186.28,50,87.696841
185.03,50,87.715828
186.28,50,87.736036
184.98,50,87.755037
186.23,50,87.77468
186.28,50,87.794681
185.03,50,87.814682
186.28,50,87.834682
186.28,50,87.85429
185.08,50,87.87329
186.28,50,87.89329
186.23,50,87.912314
186.28,50,87.93229
184.83,50,87.95229
184.98,50,87.972474
186.28,50,87.991622
184.88,50,88.011209
186.23,50,88.030209
184.88,50,88.050209
186.28,50,88.069209
183.83,50,88.089245
186.28,50,88.10821
184.98,50,88.128087
183.68,50,88.147087
186.28,50,88.16715
186.28,50,88.186151
184.98,50,88.206149
184.98,50,88.225444
184.93,50,88.245444
186.23,50,88.264783
185.03,50,88.284668
185.13,50,88.303938
183.88,50,89.090552
184.98,50,89.110551
184.83,50,89.131568
186.28,50,89.153682
186.28,50,89.173681
186.28,50,89.194682
184.88,50,89.214683
186.28,50,89.235682
183.83,50,89.256682
185.03,50,89.276681
186.28,50,89.296703
184.98,50,89.315681
185.03,50,89.335306
186.18,50,89.355329
186.23,50,89.375308
185.08,50,89.394307
185.03,50,89.414307
183.48,50,89.434306
184.98,50,89.454306
183.78,50,89.472961
182.78,50,89.492996
186.23,50,89.513078
186.28,50,89.53246
183.68,50,89.552
186.28,50,89.572001
186.28,50,89.592021
185.03,50,89.611001
183.63,50,89.631001
186.28,50,89.651001
186.28,50,89.671005
183.48,50,89.69
186.28,50,89.70926
186.28,50,89.729257
185.08,50,89.749257
186.28,50,89.76876
186.28,50,89.78876
184.83,50,89.809805
184.98,50,89.830411
186.28,50,89.849408
185.13,50,89.869407
183.78,50,89.889084
185.03,50,90.641713
185.03,50,90.662712
186.28,50,90.682733
186.28,50,90.702732
185.03,50,90.722898
184.98,50,90.742898
186.28,50,90.762934
186.23,50,90.782912
186.28,50,90.803148
186.28,50,90.822146
186.28,50,90.843067
186.23,50,90.86407
184.83,50,90.883395
186.28,50,90.904397
186.28,50,90.924397
186.28,50,90.9454
183.48,50,90.966395
186.28,50,90.986399
186.23,50,91.006395
185.03,50,91.026395
186.28,50,91.047397
186.28,50,91.071719
184.88,50,91.090719
185.03,50,91.110719
183.73,50,91.130901
186.18,50,91.150901
186.28,50,91.171601
186.28,50,91.191758
184.88,50,91.210758
185.13,50,91.230758
186.28,50,91.249758
186.28,50,91.269758
186.23,50,91.290204
184.88,50,91.309365
186.28,50,91.329364
186.28,50,91.348363
186.28,50,91.369365
185.03,50,91.389364
186.28,50,91.408364
184.98,50,91.427364
185.03,50,91.447366
185.03,50,92.1751
185.03,50,92.196373
182.53,50,92.21635
186.28,50,92.236487
185.13,50,92.256488
183.73,50,92.276047
184.7,50,92.294051
184.98,50,92.317713
185.08,50,92.336713
185.03,50,92.357144
186.28,50,92.377412
184.98,50,92.397412
186.28,50,92.416004
184.98,50,92.436116
184.98,50,92.455498
181.33,50,92.474691
186.28,50,92.495482
185.08,50,92.516014
186.28,50,92.535746
185.03,50,92.556014
186.28,50,92.575725
183.63,50,92.595724
186.28,50,92.615724
186.28,50,92.635726
186.28,50,92.656724
183.73,50,92.675725
184.98,50,92.695724
186.28,50,92.716726
183.83,50,92.735725
185.03,50,92.755726
186.28,50,92.776724
184.98,50,92.79619
183.63,50,92.815706
186.28,50,92.83488
185.13,50,92.855239
186.28,50,92.875238
183.45,50,92.895002
186.28,50,92.915002
186.28,50,92.935002
186.28,50,92.955003
186.28,50,92.974483
185.03,50,93.707047
186.28,50,93.727633
183.73,50,93.748065
186.28,50,93.768643
186.28,50,93.789266
186.28,50,93.809267
186.28,50,93.830266
186.28,50,93.849267
186.23,50,93.869884
183.78,50,93.889884
186.23,50,93.909884
186.28,50,93.929884
186.28,50,93.949886
186.28,50,93.968884
186.28,50,93.989794
186.23,50,94.009788
186.28,50,94.029382
186.28,50,94.049702
184.88,50,94.068702
186.28,50,94.08917
186.28,50,94.109171
185.03,50,94.129171
185.03,50,94.149171
186.28,50,94.16917
185.13,50,94.18919
183.73,50,94.209169
186.28,50,94.228008
184.98,50,94.248863
186.28,50,94.268844
186.28,50,94.288844
185.03,50,94.307844
185.03,50,94.327529
186.28,50,94.348528
186.28,50,94.368527
186.28,50,94.389527
186.28,50,94.408532
186.28,50,94.428527
186.19,50,94.448528
186.28,50,94.468527
185.03,50,94.487526
186.28,50,94.507527
186.28,50,95.250061
186.28,50,95.270061
186.28,50,95.289914
186.28,50,95.309212
186.28,50,95.329514
185.03,50,95.348729
186.28,50,95.367721
186.28,50,95.387748
186.28,50,95.407722
186.28,50,95.430076
184.93,50,95.449077
186.28,50,95.469075
186.28,50,95.488623
186.28,50,95.508035
186.28,50,95.528033
186.28,50,95.548033
186.23,50,95.567032
185.03,50,95.586747
186.28,50,95.606701
186.28,50,95.626701
185.08,50,95.645702
186.28,50,95.665491
186.28,50,95.685816
186.28,50,95.705029
184.83,50,95.724387
186.28,50,95.744385
186.28,50,95.763998
186.28,50,95.784143
186.28,50,95.806143
183.88,50,95.825143
183.78,50,95.846054
183.78,50,95.866055
183.83,50,95.885333
186.28,50,95.905333
186.28,50,95.925273
186.28,50,95.945673
186.28,50,95.965673
185.03,50,95.984674
186.28,50,96.004674
186.28,50,96.024674
186.28,50,96.043673
186.28,50,96.79038
186.28,50,96.809573
186.28,50,96.82835
186.28,50,96.848853
186.28,50,96.868851
186.28,50,96.888981
185.08,50,96.907985
183.63,50,96.928294
185.13,50,96.948295
186.28,50,96.968293
186.28,50,96.987153
186.28,50,97.007158
186.28,50,97.027156
186.28,50,97.047158
185.08,50,97.066436
183.63,50,97.086437
186.28,50,97.107176
186.28,50,97.127533
184.88,50,97.147534
186.28,50,97.166531
185.03,50,97.185548
186.28,50,97.204546
183.83,50,97.223533
185.03,50,97.244929
184.88,50,97.264867
186.28,50,97.284667
186.28,50,97.304397
184.98,50,97.324084
186.28,50,97.344084
185.13,50,97.364083
186.23,50,97.384487
186.28,50,97.40362
185.08,50,97.423616
186.28,50,97.442634
186.28,50,97.463862
186.28,50,97.483863
186.28,50,97.504506
186.28,50,97.524505
186.28,50,97.543505
183.78,50,97.563505
184.98,50,97.584506
186.28,50,98.32597
186.28,50,98.345968
185.08,50,98.365605
186.28,50,98.384606
186.28,50,98.404271
185.03,50,98.424054
186.28,50,98.442841
186.28,50,98.462957
186.28,50,98.481958
186.28,50,98.501955
186.28,50,98.520956
186.28,50,98.540955
186.28,50,98.559956
186.28,50,98.579944
186.28,50,98.600365
186.28,50,98.620252
185.08,50,98.639252
184.88,50,98.658983
186.23,50,98.678572
186.28,50,98.697589
186.28,50,98.717576
186.23,50,98.736576
186.28,50,98.755844
186.23,50,98.775666
186.28,50,98.794667
186.28,50,98.813666
186.28,50,98.833666
186.28,50,98.852666
185.13,50,98.87219
186.28,50,98.89119
186.28,50,98.911435
186.28,50,98.930434
186.28,50,98.950434
186.28,50,98.969452
184.63,50,98.989609
186.28,50,99.008869
186.28,50,99.029178
184.88,50,99.048308
186.28,50,99.071028
185.03,50,99.090693
186.23,50,99.109693
185.03,50,99.837645
186.28,50,99.857646
186.28,50,99.876645
186.28,50,99.895645
186.23,50,99.915112
186.28,50,99.934409
186.28,50,99.953932
186.28,50,99.973933
186.28,50,99.993244
186.28,50,100.012374
186.28,50,100.034089
183.93,50,100.057032
186.28,50,100.07711
186.28,50,100.097578
186.28,50,100.12009
186.28,50,100.141688
186.28,50,100.163688
186.28,50,100.185688
186.28,50,100.206688
185.13,50,100.227925
186.28,50,100.250914
186.28,50,100.274233
186.28,50,100.29534
185.13,50,100.317713
186.28,50,100.338713
186.28,50,100.360713
186.28,50,100.385197
186.28,50,100.406197
186.28,50,100.427354
186.28,50,100.448355
186.28,50,100.469353
186.28,50,100.488354
186.28,50,100.508355
186.28,50,100.527267
186.28,50,100.547271
184.88,50,100.566476
186.28,50,100.587514
186.28,50,100.607567
186.28,50,100.629612
186.28,50,100.649637
185.08,50,100.669616
184.98,50,101.397424
186.23,50,101.416672
184.88,50,101.435673
186.28,50,101.455764
186.28,50,101.474764
185.03,50,101.494018
185.08,50,101.514018
186.28,50,101.532749
186.28,50,101.551965
186.28,50,101.571582
185.03,50,101.591089
186.28,50,101.610088
186.23,50,101.62909
186.28,50,101.649547
185.03,50,101.669819
184.83,50,101.689815
184.88,50,101.710878
186.28,50,101.731339
186.28,50,101.752338
186.28,50,101.771624
184.88,50,101.792325
185.03,50,101.812931
185.03,50,101.833045
186.28,50,101.852781
185.13,50,101.873318
186.28,50,101.893329
186.28,50,101.913623
186.28,50,101.93362
186.28,50,101.954091
186.28,50,101.974818
186.23,50,101.995254
186.28,50,102.016325
184.98,50,102.037537
186.28,50,102.057576
186.28,50,102.077019
186.26,50,102.097023
186.28,50,102.116022
186.28,50,102.134658
186.28,50,102.153829
184.88,50,102.173316
185.13,50,102.192884
186.28,50,102.959582
185.13,50,102.980098
182.23,50,103.000272
186.28,50,103.02027
186.28,50,103.040271
185.08,50,103.061271
186.28,50,103.081296
186.23,50,103.101865
185.13,50,103.121987
186.28,50,103.141085
186.28,50,103.161086
185.03,50,103.180201
186.28,50,103.201204
185.03,50,103.22192
186.23,50,103.242923
186.28,50,103.263974
186.28,50,103.283577
186.28,50,103.30262
186.28,50,103.322622
186.28,50,103.347992
186.28,50,103.366823
186.28,50,103.386878
186.28,50,103.406481
185.03,50,103.427709
186.28,50,103.447709
186.28,50,103.46871
186.28,50,103.48871
186.28,50,103.507709
185.03,50,103.528709
186.28,50,103.54771
186.28,50,103.567443
186.28,50,103.587681
186.28,50,103.60768
186.28,50,103.627681
186.28,50,103.646683
186.23,50,103.666681
186.28,50,103.686338
186.28,50,103.707339
186.28,50,103.726619
186.28,50,103.74688
185.03,50,104.510321
186.28,50,104.530322
186.23,50,104.550326
185.03,50,104.571321
186.28,50,104.59118
186.28,50,104.612322
185.08,50,104.633792
186.28,50,104.652791
186.28,50,104.673252
186.28,50,104.694445
186.28,50,104.715887
186.28,50,104.73595
185.08,50,104.755949
186.28,50,104.77495
186.28,50,104.794949
186.28,50,104.81495
186.28,50,104.834966
186.28,50,104.855706
185.13,50,104.875706
186.28,50,104.894706
186.23,50,104.914195
186.28,50,104.935096
185.03,50,104.955063
186.28,50,104.975253
186.23,50,104.995423
186.28,50,105.015991
186.28,50,105.034993
186.23,50,105.054994
186.28,50,105.074003
185.03,50,105.0935
184.88,50,105.113583
186.28,50,105.134387
186.28,50,105.154388
185.03,50,105.174387
186.28,50,105.195387
185.03,50,105.215387
186.28,50,105.234794
186.28,50,105.256022
186.28,50,105.275023
186.28,50,105.294482
185.03,50,105.314483
186.28,50,106.060287
186.28,50,106.080287
186.28,50,106.099287
186.28,50,106.118902
185.03,50,106.137902
186.28,50,106.157334
186.28,50,106.177333
186.28,50,106.200332
186.28,50,106.224764
186.28,50,106.249764
186.28,50,106.273764
186.28,50,106.297764
184.98,50,106.321764
186.28,50,106.345764
186.28,50,106.368294
186.28,50,106.388301
186.28,50,106.407247
186.28,50,106.426763
186.28,50,106.44575
185.13,50,106.465241
186.28,50,106.485241
186.28,50,106.504241
186.28,50,106.523483
186.23,50,106.542481
186.28,50,106.562059
186.28,50,106.581624
186.28,50,106.60046
186.28,50,106.619459
186.28,50,106.638547
186.23,50,106.658547
186.28,50,106.677547
186.28,50,106.696546
186.28,50,106.716994
186.28,50,106.739828
186.28,50,106.760958
185.03,50,106.779959
186.28,50,106.798964
186.28,50,106.818963
186.28,50,106.838023
186.23,50,106.857126
186.28,50,106.87714
185.03,50,107.580078
186.28,50,107.5988
186.28,50,107.6158
186.28,50,107.633754
186.28,50,107.651414
186.28,50,107.6692
186.28,50,107.687055
186.28,50,107.705589
186.28,50,107.722231
186.28,50,107.740269
186.28,50,107.762719
186.28,50,107.783134
186.28,50,107.804447
184.98,50,107.826414
186.28,50,107.846412
186.28,50,107.868412
186.28,50,107.888413
186.28,50,107.909412
186.28,50,107.930412
186.28,50,107.952119
186.28,50,107.973133
186.28,50,107.993145
186.28,50,108.014134
186.28,50,108.032989
186.28,50,108.053222
186.28,50,108.073218
186.28,50,108.093187
186.28,50,108.112551
186.28,50,108.131477
185.03,50,108.150476
185.03,50,108.170477
186.28,50,108.189245
185.08,50,108.211334
186.28,50,108.232333
185.08,50,108.255333
186.28,50,108.277334
186.28,50,108.300169
186.28,50,108.322428
186.28,50,108.343428
186.28,50,108.364428
186.28,50,108.385429
186.28,50,109.171586
186.28,50,109.192567
186.28,50,109.213568
184.88,50,109.233567
186.28,50,109.254568
186.28,50,109.274568
186.28,50,109.295567
186.28,50,109.314568
186.23,50,109.336001
186.28,50,109.356983
183.83,50,109.378001
186.28,50,109.398198
186.28,50,109.418197
185.08,50,109.437197
186.28,50,109.457197
185.08,50,109.477215
186.28,50,109.497197
186.28,50,109.516197
186.28,50,109.536214
186.28,50,109.555216
185.13,50,109.575197
185.03,50,109.594805
186.28,50,109.614806
186.28,50,109.634864
186.23,50,109.653864
186.28,50,109.673826
186.28,50,109.692859
186.28,50,109.711661
186.28,50,109.731897
186.28,50,109.7514
186.28,50,109.770403
186.28,50,109.789428
186.28,50,109.808799
186.28,50,109.828802
186.28,50,109.847802
186.28,50,109.867909
186.28,50,109.88691
186.23,50,109.906931
186.28,50,109.926908
185.03,50,109.946392
186.28,50,109.965392
186.28,50,110.719326
186.28,50,110.739579
186.28,50,110.75958
186.23,50,110.78058
186.28,50,110.800951
186.28,50,110.825214
185.08,50,110.846215
186.28,50,110.866567
185.13,50,110.885886
186.28,50,110.906887
186.28,50,110.926989
186.28,50,110.945903
185.03,50,110.966902
186.28,50,110.986904
186.28,50,111.007903
186.28,50,111.027522
186.28,50,111.048977
186.28,50,111.069163
186.28,50,111.088829
186.28,50,111.110828
186.28,50,111.133194
186.28,50,111.155901
186.28,50,111.175316
186.28,50,111.196248
184.88,50,111.216465
186.28,50,111.235718
186.28,50,111.255777
186.28,50,111.276777
186.28,50,111.296777
186.28,50,111.316777
186.28,50,111.337059
186.28,50,111.35709
184.98,50,111.378089
186.28,50,111.396088
186.28,50,111.414104
186.28,50,111.430851
185.03,50,111.447208
186.28,50,111.463315
186.28,50,111.480319
184.88,50,111.498934
186.28,50,111.518933
186.28,50,112.272022
186.28,50,112.29202
186.28,50,112.312115
186.28,50,112.332118
186.28,50,112.352117
186.28,50,112.373117
186.28,50,112.394116
186.28,50,112.413117
186.28,50,112.433311
186.28,50,112.452821
185.03,50,112.472821
186.28,50,112.491694
186.28,50,112.512334
186.28,50,112.532354
186.23,50,112.552335
186.28,50,112.572335
186.28,50,112.592335
186.28,50,112.613334
186.28,50,112.633334
185.03,50,112.653334
186.28,50,112.672671
186.23,50,112.69167
186.28,50,112.711673
186.28,50,112.731672
186.28,50,112.750891
186.28,50,112.771773
186.28,50,112.791148
186.28,50,112.811148
186.28,50,112.831085
185.08,50,112.852349
186.28,50,112.873883
186.28,50,112.892936
186.28,50,112.913935
184.88,50,112.933936
186.28,50,112.954984
186.28,50,112.974709
186.28,50,112.995174
186.28,50,113.014174
186.28,50,113.034174
186.28,50,113.053174
184.88,50,113.073708
184.98,50,113.81948
186.28,50,113.83848
186.28,50,113.858383
186.28,50,113.877297
186.28,50,113.896297
185.13,50,113.916299
186.28,50,113.935297
186.28,50,113.954791
186.28,50,113.97379
186.28,50,113.993752
186.23,50,114.012751
184.88,50,114.032751
186.28,50,114.052192
186.28,50,114.071195
186.28,50,114.092937
186.23,50,114.11315
183.88,50,114.133229
186.28,50,114.152839
186.28,50,114.171841
186.28,50,114.190835
186.23,50,114.210835
186.28,50,114.229836
186.28,50,114.249281
186.28,50,114.267997
186.28,50,114.287017
186.28,50,114.307287
186.28,50,114.326287
186.28,50,114.345371
185.03,50,114.366617
185.03,50,114.385896
186.23,50,114.404896
184.88,50,114.423896
186.28,50,114.442897
186.28,50,114.462897
184.98,50,114.48109
186.28,50,114.500288
186.28,50,114.519289
186.28,50,114.538289
186.23,50,114.557288
186.28,50,114.577289
186.28,50,114.596608
186.28,50,115.33851
186.28,50,115.359859
186.28,50,115.379862
186.28,50,115.398369
186.28,50,115.41855
186.28,50,115.438549
186.28,50,115.457691
186.23,50,115.476413
186.28,50,115.496094
186.28,50,115.515296
186.28,50,115.5343
186.28,50,115.554295
186.28,50,115.572644
186.23,50,115.592317
186.26,50,115.611718
186.23,50,115.631309
186.28,50,115.650312
186.28,50,115.669328
186.28,50,115.689306
186.23,50,115.707895
186.28,50,115.726896
186.23,50,115.746896
186.28,50,115.766074
186.28,50,115.785467
183.83,50,115.805135
186.28,50,115.82475
186.28,50,115.843749
186.23,50,115.862259
186.28,50,115.882497
186.28,50,115.901067
186.28,50,115.921066
186.28,50,115.940066
185.08,50,115.959066
186.28,50,115.978087
186.23,50,115.998066
186.28,50,116.017066
186.28,50,116.037066
186.28,50,116.056068
186.28,50,116.076067
186.28,50,116.095508
186.23,50,116.114152
186.28,50,116.85016
186.28,50,116.869842
186.28,50,116.888843
186.28,50,116.908672
186.28,50,116.92885
186.28,50,116.948773
186.28,50,116.969778
186.28,50,116.988776
186.23,50,117.008066
186.28,50,117.027942
186.28,50,117.047114
186.28,50,117.067313
186.28,50,117.086317
186.28,50,117.105313
186.28,50,117.124955
186.28,50,117.144802
186.23,50,117.1638
186.28,50,117.183801
186.28,50,117.203801
186.28,50,117.222801
186.28,50,117.241801
186.23,50,117.261802
186.23,50,117.280802
186.28,50,117.300801
186.28,50,117.319802
186.23,50,117.338801
186.28,50,117.358828
186.23,50,117.378482
186.28,50,117.397485
186.28,50,117.41677
186.23,50,117.43577
186.28,50,117.45577
186.28,50,117.475907
186.28,50,117.495519
184.94,50,117.514228
186.28,50,117.534237
186.28,50,117.552605
186.28,50,117.571998
186.28,50,117.591999
185.13,50,117.61368
186.28,50,117.633679
186.28,50,118.400099
186.28,50,118.420393
183.73,50,118.440427
186.28,50,118.460427
186.28,50,118.479427
186.28,50,118.500428
186.28,50,118.520065
186.28,50,118.539919
186.28,50,118.5597
186.28,50,118.581223
186.28,50,118.600223
186.28,50,118.619975
186.28,50,118.640502
186.23,50,118.660071
186.28,50,118.680141
186.28,50,118.700138
186.23,50,118.719138
186.28,50,118.739138
186.28,50,118.759138
186.28,50,118.780138
186.28,50,118.799297
186.28,50,118.819424
186.23,50,118.839391
186.28,50,118.859665
186.28,50,118.878785
186.28,50,118.898786
186.28,50,118.918784
186.28,50,118.938786
186.28,50,118.959498
185.03,50,118.981502
186.28,50,119.002195
185.08,50,119.022196
186.28,50,119.042261
186.28,50,119.062262
186.28,50,119.082261
186.28,50,119.103263
186.28,50,119.122282
186.28,50,119.139248
186.28,50,119.156698
186.28,50,119.173537
186.28,50,119.190639
186.28,50,119.945972
186.28,50,119.967499
186.28,50,119.988474
186.28,50,120.008474
186.28,50,120.027475
186.28,50,120.047897
186.28,50,120.068084
184.98,50,120.089083
186.28,50,120.10922
186.28,50,120.12922
186.28,50,120.151544
184.88,50,120.173549
186.28,50,120.190087
186.28,50,120.206099
186.28,50,120.223099
186.28,50,120.241694
186.28,50,120.258693
186.28,50,120.27576
186.23,50,120.29376
186.23,50,120.310413
185.13,50,120.327635
186.28,50,120.345234
186.28,50,120.36192
186.28,50,120.379467
186.28,50,120.397504
186.28,50,120.414095
186.28,50,120.432011
186.28,50,120.448953
186.28,50,120.466598
186.28,50,120.483212
186.28,50,120.501519
186.28,50,120.518818
186.28,50,120.537321
186.28,50,120.554275
186.28,50,120.570863
186.28,50,120.591306
186.28,50,120.612314
186.28,50,120.632314
186.28,50,120.651675
186.28,50,120.67069
185.03,50,120.691973
186.28,50,121.439613
186.28,50,121.46656
186.28,50,121.485562
186.28,50,121.504059
186.28,50,121.523723
186.28,50,121.542747
186.28,50,121.562748
186.28,50,121.582748
186.28,50,121.601751
186.28,50,121.621749
186.28,50,121.64078
186.28,50,121.660749
186.28,50,121.680748
186.23,50,121.700176
186.28,50,121.720177
186.28,50,121.739177
186.28,50,121.759177
186.28,50,121.778242
186.23,50,121.798242
186.28,50,121.817567
186.28,50,121.837007
186.23,50,121.855984
186.28,50,121.876468
184.88,50,121.895155
186.28,50,121.915494
186.28,50,121.934311
186.28,50,121.95431
186.28,50,121.973369
186.28,50,121.993639
186.28,50,122.012641
185.03,50,122.031853
186.28,50,122.051852
186.28,50,122.070852
186.28,50,122.090646
185.03,50,122.110868
186.28,50,122.130945
184.88,50,122.149945
186.28,50,122.169946
186.28,50,122.189454
186.28,50,122.208795
186.28,50,122.228794
186.28,50,122.975247
186.28,50,122.995247
186.28,50,123.014955
186.28,50,123.036574
186.28,50,123.056325
186.28,50,123.07552
186.28,50,123.094525
186.28,50,123.114525
186.28,50,123.133677
186.28,50,123.153676
186.28,50,123.177677
186.28,50,123.196677
186.23,50,123.215676
186.28,50,123.235677
186.28,50,123.254676
186.23,50,123.273676
186.28,50,123.293676
186.28,50,123.312676
186.28,50,123.331676
186.28,50,123.351676
186.28,50,123.370718
186.28,50,123.390676
186.28,50,123.409649
186.28,50,123.42934
186.28,50,123.44887
186.28,50,123.467906
186.28,50,123.48687
186.28,50,123.506872
186.28,50,123.526668
186.28,50,123.545508
186.28,50,123.565508
186.28,50,123.584151
186.28,50,123.603916
186.28,50,123.623916
186.28,50,123.642919
186.28,50,123.662469
185.03,50,123.681892
186.28,50,123.701892
186.28,50,123.720893
186.28,50,123.739892
186.28,50,123.759173
186.28,50,124.496297
186.28,50,124.515726
186.28,50,124.534722
186.28,50,124.554721
186.28,50,124.573722
186.28,50,124.593722
186.28,50,124.612723
186.28,50,124.631721
186.28,50,124.651753
186.28,50,124.671839
186.28,50,124.690814
186.28,50,124.710817
186.23,50,124.729815
186.28,50,124.749872
186.28,50,124.769063
186.28,50,124.789068
186.28,50,124.808067
186.28,50,124.827067
186.28,50,124.847066
186.28,50,124.866376
186.28,50,124.88538
186.28,50,124.90538
185.03,50,124.924381
186.28,50,124.944522
186.28,50,124.963388
186.28,50,124.983066
186.28,50,125.002211
186.28,50,125.02221
186.28,50,125.041762
186.28,50,125.063664
186.28,50,125.084814
186.28,50,125.103796
186.28,50,125.123797
185.03,50,125.144145
186.28,50,125.163877
186.28,50,125.182878
186.28,50,125.202875
186.23,50,125.221354
186.28,50,125.241595
186.28,50,125.2604
186.28,50,125.280399
186.28,50,126.046189
186.28,50,126.066512
186.28,50,126.085827
186.28,50,126.105826
186.28,50,126.125848
186.28,50,126.146832
186.28,50,126.166283
186.28,50,126.186284
186.28,50,126.205282
186.28,50,126.225283
186.28,50,126.245282
186.28,50,126.265283
186.28,50,126.285363
185.03,50,126.304392
186.28,50,126.324362
186.28,50,126.34436
186.28,50,126.363614
186.28,50,126.383867
186.28,50,126.403404
185.13,50,126.422955
186.28,50,126.443956
186.28,50,126.463957
186.28,50,126.483957
186.28,50,126.505517
186.28,50,126.525619
186.23,50,126.545621
186.28,50,126.565335
186.28,50,126.585307
186.28,50,126.606307
186.28,50,126.625609
186.23,50,126.646091
186.28,50,126.666154
186.28,50,126.68595
186.23,50,126.706949
183.83,50,126.72595
186.28,50,126.745949
186.28,50,126.765971
184.88,50,126.785951
186.28,50,126.806187
186.28,50,126.828089
186.28,50,126.848089
186.28,50,127.591934
186.28,50,127.611918
186.28,50,127.632206
186.28,50,127.652325
184.98,50,127.673019
186.28,50,127.69302
186.28,50,127.712795
186.28,50,127.733771
186.23,50,127.754244
186.28,50,127.7739
186.23,50,127.794901
186.28,50,127.8139
185.03,50,127.8339
186.28,50,127.8539
186.28,50,127.874074
186.28,50,127.894074
186.28,50,127.915208
186.23,50,127.935209
186.28,50,127.955215
186.28,50,127.975208
186.28,50,127.995208
186.28,50,128.015208
186.28,50,128.035208
186.28,50,128.056355
186.28,50,128.076357
186.28,50,128.097672
185.13,50,128.118576
186.28,50,128.137755
186.28,50,128.159384
186.28,50,128.179383
186.28,50,128.199382
186.28,50,128.220383
186.28,50,128.240704
183.98,50,128.260515
186.28,50,128.279874
186.28,50,128.300714
186.28,50,128.319853
186.28,50,128.342856
186.28,50,128.362876
186.28,50,128.382379
186.28,50,128.402378
186.28,50,129.166357
186.28,50,129.185358
186.28,50,129.205532
186.28,50,129.225753
186.28,50,129.245471
186.28,50,129.264475
186.28,50,129.284757
186.28,50,129.304639
186.28,50,129.323643
186.28,50,129.343348
186.28,50,129.362348
186.28,50,129.382348
186.28,50,129.401347
186.28,50,129.420348
186.28,50,129.440313
186.28,50,129.459313
186.28,50,129.478312
186.28,50,129.498312
186.28,50,129.517313
186.28,50,129.53779
185.13,50,129.556805
186.28,50,129.576123
185.13,50,129.596144
186.28,50,129.615123
186.28,50,129.634126
186.28,50,129.654123
186.28,50,129.673123
186.28,50,129.692677
186.28,50,129.712677
186.28,50,129.731727
186.28,50,129.751214
186.28,50,129.770494
186.28,50,129.790909
186.23,50,129.810909
186.28,50,129.829469
186.28,50,129.850198
186.28,50,129.870199
186.28,50,129.889199
186.28,50,129.9092
186.28,50,129.928199
185.03,50,129.9472
186.28,50,130.680167
186.28,50,130.699323
186.28,50,130.719468
186.28,50,130.739148
186.28,50,130.75815
186.28,50,130.777543
185.08,50,130.797543
186.28,50,130.817543
186.28,50,130.836543
185.08,50,130.856544
186.28,50,130.875758
186.28,50,130.894743
186.28,50,130.914752
186.28,50,130.933744
186.28,50,130.953744
186.28,50,130.972743
186.28,50,130.991744
186.28,50,131.011745
186.28,50,131.030743
186.28,50,131.049746
186.28,50,131.070031
186.28,50,131.089041
186.28,50,131.108412
186.28,50,131.128256
186.28,50,131.147267
186.28,50,131.166341
186.28,50,131.187267
185.13,50,131.20657
186.28,50,131.226696
186.28,50,131.246633
186.28,50,131.266198
186.28,50,131.285182
186.28,50,131.305397
186.28,50,131.324398
186.28,50,131.343719
185.03,50,131.363719
186.28,50,131.384218
186.28,50,131.403372
186.28,50,131.422585
186.28,50,131.44191
186.23,50,131.460711
186.28,50,132.204628
186.28,50,132.226645
186.28,50,132.246863
186.28,50,132.265896
186.28,50,132.285862
186.28,50,132.30507
186.28,50,132.325047
186.28,50,132.343817
186.28,50,132.364817
185.13,50,132.384372
186.28,50,132.4029
186.28,50,132.422898
186.28,50,132.441898
186.28,50,132.461898
186.28,50,132.480898
186.28,50,132.499898
186.28,50,132.519379
186.23,50,132.539378
186.28,50,132.558379
186.28,50,132.577537
186.28,50,132.597572
186.28,50,132.617571
186.28,50,132.63557
186.28,50,132.655571
186.28,50,132.674571
186.28,50,132.694571
185.03,50,132.714571
186.23,50,132.733572
186.28,50,132.753603
186.28,50,132.772601
186.28,50,132.791603
186.28,50,132.81134
186.28,50,132.83034
186.28,50,132.849643
186.28,50,132.869569
186.28,50,132.889244
186.28,50,132.910244
186.28,50,132.929245
186.28,50,132.949245
186.28,50,132.968582
184.88,50,132.988692
186.28,50,133.743754
186.28,50,133.763755
186.28,50,133.783389
186.28,50,133.803387
186.28,50,133.823388
186.28,50,133.843388
186.28,50,133.863387
186.28,50,133.883389
186.28,50,133.903389
186.28,50,133.924388
186.28,50,133.943388
186.28,50,133.963388
186.28,50,133.982388
185.13,50,134.004388
186.28,50,134.023387
186.28,50,134.043026
186.28,50,134.063796
186.28,50,134.083797
186.28,50,134.102844
186.28,50,134.122845
186.28,50,134.141845
186.28,50,134.161845
186.28,50,134.180886
186.28,50,134.200653
