#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
36.21,20,7.4494
8.36,5,7.4514
88.51,50,7.470264
92.08,50,7.489266
63.41,34,7.502264
8.6,5,7.504264
40.65,23,7.513231
38.56,22,7.521625
95.41,50,7.5406
73.87,40,7.555601
53.93,31,7.567742
93.34,50,7.586993
25.78,14,7.591994
2.93,2,7.592995
89.95,50,7.611995
6.1,4,7.612994
19.18,11,7.616994
90.9,50,7.636387
85.21,50,7.656573
95.42,50,7.678563
11.04,8,7.682573
93.35,50,7.719991
86.03,48,8.478495
34.41,18,8.486494
93.23,50,8.506346
97.72,50,8.526347
90.51,50,8.546347
93.55,50,8.56543
92.57,50,8.584945
95.4,49,8.604817
100.4,50,8.62484
94.23,50,8.64484
92.75,50,8.664889
88.41,44,8.681888
89.7,50,8.701889
93.14,50,8.720335
39.2,22,8.729487
71.96,38,8.74449
7.35,4,8.745486
90.21,50,8.764379
11.68,7,8.767379
93.86,50,8.787043
60.23,33,8.799898
97.32,50,8.818898
4.46,3,8.819898
96.71,50,8.838752
25.15,14,8.844771
63.19,35,8.857013
41.77,22,8.866013
92.91,50,8.884649
91.46,50,8.903923
78.36,42,8.919918
92.25,50,8.93864
102.54,50,8.957902
8.46,5,8.959922
96.97,50,8.978607
92.82,50,8.997471
5.31,3,8.99847
18.76,10,9.002473
83.7,47,9.020472
91.57,50,9.039717
20.26,12,9.044055
95.88,50,9.063393
6.81,4,9.065387
93.19,50,9.084161
12.85,8,9.087161
25.2,14,9.09216
95.64,50,9.112159
96.22,50,9.131103
32.98,18,9.138585
94.59,50,9.156876
41.66,23,9.166059
93.28,50,9.184782
50.86,28,9.195764
57.94,33,9.207765
82.56,47,9.226269
22.7,13,9.231701
70.06,38,9.245702
53.36,30,9.256701
97.25,50,9.976649
37.78,20,9.984649
99.06,50,10.004776
39.32,22,10.012776
97.65,50,10.032776
97.33,50,10.052776
57.5,30,10.064459
93.12,50,10.082973
96.36,50,10.101992
96.47,50,10.121975
45.71,24,10.131378
36.64,20,10.138367
89.26,50,10.158716
99.04,50,10.178279
18.12,11,10.182284
97.68,50,10.201574
57.62,30,10.213577
92.2,47,10.231845
90.13,48,10.24988
94.36,50,10.27004
78.75,41,10.285673
102.71,50,10.305917
93.93,50,10.324553
38.49,20,10.332579
96.22,50,10.351791
92.02,50,10.371791
98.41,50,10.390696
87.3,48,10.409697
97.99,50,10.429696
3.1,2,10.430697
91.34,50,10.450271
